python3-6103    [001] ..s..  7297.270405: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100
<idle>-0       [001] ..s..  8317.196830: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8317.196833: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8317.196835: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8323.196609: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8323.196612: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8323.196614: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8329.196023: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8329.196027: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8329.196029: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8335.195007: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8335.195011: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8335.195012: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  8336.130694: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8336.130697: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8336.130698: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8336.130699: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8336.130701: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8341.194609: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8341.194612: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8341.194614: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8347.194982: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8347.194984: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8347.194986: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8353.195524: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8353.195527: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8353.195529: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8353.647862: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8353.647866: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8353.647868: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8353.647870: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8353.647873: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8359.193564: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8359.193568: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

